row_idx,gene_id,name,biotype,chrom,start,end,strand,assembly,species,length,gc_content,seq_len_used,umap2d_x,umap2d_y,umap3d_x,umap3d_y,umap3d_z,hox_cluster
81987,ENSBTAG00000006879,HOXC11,protein_coding,5,26057080,26059552,-,ARS-UCD1.3,cow,2473,0.6381,2473,15.4749,4.8663,14.1108,6.7246,2.9844,C
81988,ENSBTAG00000000924,HOXC12,protein_coding,5,26075091,26077752,-,ARS-UCD1.3,cow,2662,0.5995,2662,15.8401,4.2684,14.4252,6.0832,2.8811,C
81990,ENSBTAG00000000923,HOXC13,protein_coding,5,26085701,26093573,-,ARS-UCD1.3,cow,7873,0.4889,7873,17.0171,4.7893,15.7425,6.3718,3.2748,C
99684,ENSBTAG00000014663,HOXB13,protein_coding,19,37792257,37794223,+,ARS-UCD1.3,cow,1967,0.5796,1967,15.6379,4.5873,14.2783,6.455,2.8339,B
99686,ENSBTAG00000061622,HOXB9,protein_coding,19,37866983,37870934,+,ARS-UCD1.3,cow,3952,0.5678,3952,15.9796,5.0338,14.6685,6.7873,3.1028,B
99688,ENSBTAG00000054162,HOXB8,protein_coding,19,37878401,37881121,+,ARS-UCD1.3,cow,2721,0.5935,2721,15.5274,4.8763,14.1671,6.7186,2.9831,B
99689,ENSBTAG00000005546,HOXB7,protein_coding,19,37882418,37884842,+,ARS-UCD1.3,cow,2425,0.593,2425,15.6179,4.6524,14.2416,6.4994,2.8568,B
99690,ENSBTAG00000050006,HOXB6,protein_coding,19,37887739,37897080,+,ARS-UCD1.3,cow,9342,0.5517,8190,16.5756,5.1487,15.3141,6.7808,3.2926,B
99691,ENSBTAG00000045835,HOXB5,protein_coding,19,37898606,37901190,+,ARS-UCD1.3,cow,2585,0.5644,2585,15.4421,4.9203,14.0889,6.7832,2.9451,B
99692,ENSBTAG00000039599,HOXB4,protein_coding,19,37913845,37916664,+,ARS-UCD1.3,cow,2820,0.5699,2820,15.47,4.9179,14.126,6.7485,2.9389,B
99693,ENSBTAG00000021427,HOXB3,protein_coding,19,37915998,37942452,+,ARS-UCD1.3,cow,26455,0.5145,8190,17.7575,3.9353,16.3546,5.5222,3.0567,B
99694,ENSBTAG00000009979,HOXB2,protein_coding,19,37946201,37948660,+,ARS-UCD1.3,cow,2460,0.5679,2460,15.5206,4.778,14.1402,6.6606,2.9324,B
99696,ENSBTAG00000007603,HOXB1,protein_coding,19,37957710,37960269,+,ARS-UCD1.3,cow,2560,0.6,2560,15.8572,4.5261,14.4804,6.3672,2.8737,B
113678,ENSCAFG00845017096,HOXB1,protein_coding,9,25587585,25588998,-,ROS_Cfam_1.0,dog,1414,0.6782,1414,15.6305,4.6314,14.2089,6.4971,2.9624,B
113680,ENSCAFG00845017142,HOXB2,protein_coding,9,25598682,25601013,-,ROS_Cfam_1.0,dog,2332,0.578,2332,15.7493,4.5209,14.3868,6.3347,2.8681,B
113681,ENSCAFG00845017188,HOXB3,protein_coding,9,25605623,25630630,-,ROS_Cfam_1.0,dog,25008,0.5367,8190,17.9262,3.4252,16.4949,4.9829,3.0206,B
113682,ENSCAFG00845017264,HOXB4,protein_coding,9,25633230,25635059,-,ROS_Cfam_1.0,dog,1830,0.6268,1830,15.4444,4.8833,14.0692,6.764,2.9938,B
113683,ENSCAFG00845009832,HOXB5,protein_coding,9,25648192,25651900,-,ROS_Cfam_1.0,dog,3709,0.5584,3709,15.814,4.9402,14.4692,6.7356,3.0633,B
113684,ENSCAFG00845009871,HOXB6,protein_coding,9,25653508,25655228,-,ROS_Cfam_1.0,dog,1721,0.6485,1721,15.4573,4.8724,14.0963,6.7352,2.9723,B
113685,ENSCAFG00845009899,HOXB7,protein_coding,9,25664496,25667914,-,ROS_Cfam_1.0,dog,3419,0.5633,3419,16.0177,4.7054,14.6641,6.4672,3.0075,B
113686,ENSCAFG00845009931,HOXB8,protein_coding,9,25670240,25671932,-,ROS_Cfam_1.0,dog,1693,0.596,1693,15.4358,4.9215,14.092,6.7629,2.9738,B
113687,ENSCAFG00845009956,HOXB9,protein_coding,9,25680383,25683856,-,ROS_Cfam_1.0,dog,3474,0.5852,3474,15.7269,4.9134,14.3948,6.7538,3.0669,B
113689,ENSCAFG00845009992,HOXB13,protein_coding,9,25753220,25755912,-,ROS_Cfam_1.0,dog,2693,0.5752,2693,16.5588,4.0341,15.0988,5.7706,2.8712,B
117922,ENSCAFG00845011289,HOXA1,protein_coding,14,40206290,40208443,-,ROS_Cfam_1.0,dog,2154,0.5009,2154,15.5586,4.18,14.1546,6.0849,2.7792,A
117923,ENSCAFG00845011307,HOXA2,protein_coding,14,40213230,40215000,-,ROS_Cfam_1.0,dog,1771,0.5443,1771,15.4085,4.9285,14.033,6.8209,2.9717,A
117924,ENSCAFG00845011325,HOXA3,protein_coding,14,40220574,40239394,-,ROS_Cfam_1.0,dog,18821,0.5121,8190,16.7109,5.1147,15.4392,6.7031,3.3067,A
117925,ENSCAFG00845011344,HOXA4,protein_coding,14,40241589,40243094,-,ROS_Cfam_1.0,dog,1506,0.6567,1506,14.8641,4.8064,13.4583,6.8825,3.1698,A
117926,ENSCAFG00845011359,HOXA5,protein_coding,14,40254476,40256603,-,ROS_Cfam_1.0,dog,2128,0.6194,2128,15.4139,4.9217,14.0532,6.7997,3.0046,A
117927,ENSCAFG00845011371,HOXA6,protein_coding,14,40258316,40260418,-,ROS_Cfam_1.0,dog,2103,0.5521,2103,15.5046,4.8357,14.1509,6.6924,2.9423,A
117928,ENSCAFG00845011385,HOXA7,protein_coding,14,40267783,40269502,-,ROS_Cfam_1.0,dog,1720,0.6343,1720,15.4916,4.837,14.1301,6.6943,2.9735,A
117929,ENSCAFG00845011412,HOXA9,protein_coding,14,40275952,40278578,-,ROS_Cfam_1.0,dog,2627,0.5744,2627,15.4612,4.8463,14.1136,6.693,2.9801,A
117930,ENSCAFG00845016148,HOXA10,protein_coding,14,40283823,40287557,-,ROS_Cfam_1.0,dog,3735,0.5639,3735,15.5721,4.9542,14.2074,6.7872,3.0344,A
117931,ENSCAFG00845016202,HOXA11,protein_coding,14,40295087,40299055,-,ROS_Cfam_1.0,dog,3969,0.5717,3969,15.841,4.8739,14.5064,6.6573,3.0619,A
117932,ENSCAFG00845016263,HOXA13,protein_coding,14,40311665,40314704,-,ROS_Cfam_1.0,dog,3040,0.6628,3040,16.4564,4.225,15.0985,5.9372,3.0589,A
142335,ENSXETG00000025181,hoxc3,protein_coding,2,145920781,145927936,-,UCB_Xtro_10.0,frog,7156,0.4181,7156,4.6295,11.27,8.576,14.3029,7.6139,C
142336,ENSXETG00000038997,hoxc4,protein_coding,2,145980473,146066854,-,UCB_Xtro_10.0,frog,86382,0.4055,8190,3.8252,11.3033,7.8712,14.5845,7.4892,C
142337,ENSXETG00000042371,hoxc6,protein_coding,2,146016594,146075196,-,UCB_Xtro_10.0,frog,58603,0.4078,8190,4.3969,11.4567,8.5271,14.4922,7.4543,C
142338,ENSXETG00000025183,hoxc5,protein_coding,2,146060447,146062948,-,UCB_Xtro_10.0,frog,2502,0.4137,2502,6.5942,10.5047,9.06,13.4514,8.7775,C
142339,ENSXETG00000023476,hoxc8,protein_coding,2,146085662,146089469,-,UCB_Xtro_10.0,frog,3808,0.4343,3808,5.1759,11.0085,8.7758,13.9423,8.1058,C
142340,ENSXETG00000044877,hoxc9,protein_coding,2,146094868,146149103,-,UCB_Xtro_10.0,frog,54236,0.3813,8190,4.1456,11.4431,8.2125,14.6034,7.5645,C
142341,ENSXETG00000023472,hoxc10,protein_coding,2,146107005,146111242,-,UCB_Xtro_10.0,frog,4238,0.3568,4238,7.835,10.9513,9.7382,13.3781,9.9372,C
142342,ENSXETG00000023470,hoxc12,protein_coding,2,146141299,146142869,-,UCB_Xtro_10.0,frog,1571,0.4863,1571,7.1449,10.4488,9.5923,13.0861,9.0576,C
142343,ENSXETG00000038664,HOXC13,protein_coding,2,146196800,146201156,-,UCB_Xtro_10.0,frog,4357,0.4078,4357,5.1546,11.0222,8.7779,13.9406,8.1046,C
150791,ENSXETG00000000715,hoxa1,protein_coding,6,42135898,42138055,-,UCB_Xtro_10.0,frog,2158,0.4351,2158,7.2616,10.4542,9.4901,13.1018,9.2667,A
150792,ENSXETG00000000716,hoxa2,protein_coding,6,42145969,42147900,-,UCB_Xtro_10.0,frog,1932,0.4503,1932,7.1017,10.3727,9.6155,13.089,9.0385,A
150793,ENSXETG00000000717,hoxa3,protein_coding,6,42151954,42161191,-,UCB_Xtro_10.0,frog,9238,0.3885,8190,4.0734,11.5334,8.2684,14.7334,7.5265,A
150794,ENSXETG00000027534,hoxa4,protein_coding,6,42172312,42174313,-,UCB_Xtro_10.0,frog,2002,0.4291,2002,7.048,10.3945,9.3978,13.1312,9.1156,A
150795,ENSXETG00000036073,hoxa6,protein_coding,6,42183495,42189001,-,UCB_Xtro_10.0,frog,5507,0.4218,5507,4.8778,11.2205,8.6813,14.1784,7.9002,A
150796,ENSXETG00000000722,hoxa7,protein_coding,6,42193336,42196378,-,UCB_Xtro_10.0,frog,3043,0.4019,3043,5.722,10.6916,8.8611,13.6873,8.3349,A
150797,ENSXETG00000000724,hoxa9,protein_coding,6,42201260,42202713,-,UCB_Xtro_10.0,frog,1454,0.5014,1454,7.0214,10.3785,9.4981,13.0858,9.0012,A
150798,ENSXETG00000000728,hoxa10,protein_coding,6,42208759,42209031,-,UCB_Xtro_10.0,frog,273,0.5128,273,14.0221,4.5843,12.7848,6.5951,2.6589,A
150799,ENSXETG00000044962,hoxa13,protein_coding,6,42217823,42232998,-,UCB_Xtro_10.0,frog,15176,0.4043,8190,3.8705,11.3048,7.9371,14.5939,7.4842,A
158324,ENSXETG00000007575,hoxd13,protein_coding,9,64969999,64974696,+,UCB_Xtro_10.0,frog,4698,0.4332,4698,4.7828,11.0948,8.5775,14.1444,7.8565,D
158325,ENSXETG00000045288,hoxd9,protein_coding,9,64984814,65005353,+,UCB_Xtro_10.0,frog,20540,0.3916,8190,4.3185,11.2948,8.3024,14.4404,7.5685,D
158326,ENSXETG00000032416,hoxd10,protein_coding,9,64988898,64991109,+,UCB_Xtro_10.0,frog,2212,0.3852,2212,6.9855,10.3685,9.3183,13.1464,9.0559,D
158329,ENSXETG00000040128,hoxd8,protein_coding,9,65056423,65059718,+,UCB_Xtro_10.0,frog,3296,0.4278,3296,4.9808,10.9956,8.6524,14.026,7.9897,D
158330,ENSXETG00000001799,hoxd4,protein_coding,9,65084151,65085451,+,UCB_Xtro_10.0,frog,1301,0.4604,1301,6.8888,10.2616,9.567,13.0642,8.9122,D
158331,ENSXETG00000037804,hoxd3,protein_coding,9,65089677,65101688,+,UCB_Xtro_10.0,frog,12012,0.4094,8190,3.7814,11.2694,7.8585,14.6396,7.4815,D
158332,ENSXETG00000001801,hoxd1,protein_coding,9,65133876,65136008,+,UCB_Xtro_10.0,frog,2133,0.429,2133,6.1498,10.4248,8.876,13.4969,8.5505,D
158991,ENSXETG00000049208,hoxb1,protein_coding,10,11993262,11999131,-,UCB_Xtro_10.0,frog,5870,0.4525,5870,5.0708,11.5009,9.1556,14.2292,7.5169,B
158992,ENSXETG00000027353,hoxb2,protein_coding,10,12016147,12021633,-,UCB_Xtro_10.0,frog,5487,0.3984,5487,4.8946,11.2124,8.7415,14.1655,7.7147,B
158993,ENSXETG00000021967,hoxb3,protein_coding,10,12024305,12074600,-,UCB_Xtro_10.0,frog,50296,0.4051,8190,4.3694,11.3007,8.3488,14.4193,7.5778,B
158994,ENSXETG00000021973,hoxb4,protein_coding,10,12047821,12049826,-,UCB_Xtro_10.0,frog,2006,0.4731,2006,6.9572,10.3994,9.403,13.143,9.0057,B
158995,ENSXETG00000021978,hoxb5,protein_coding,10,12060895,12063893,-,UCB_Xtro_10.0,frog,2999,0.4555,2999,5.534,10.8563,8.8886,13.7667,8.2802,B
158996,ENSXETG00000021987,hoxb6,protein_coding,10,12065152,12071893,-,UCB_Xtro_10.0,frog,6742,0.418,6742,4.3888,11.303,8.3716,14.3929,7.5776,B
158997,ENSXETG00000021993,hoxb8,protein_coding,10,12075825,12091915,-,UCB_Xtro_10.0,frog,16091,0.4527,8190,4.9559,11.4544,9.0004,14.2982,7.4808,B
158998,ENSXETG00000043711,hoxb9,protein_coding,10,12094129,12101069,-,UCB_Xtro_10.0,frog,6941,0.3791,6941,4.7393,11.2496,8.6327,14.2529,7.6664,B
168410,ENSG00000128714,HOXD13,protein_coding,2,176092721,176095944,+,GRCh38,human,3224,0.4988,3224,15.729,4.9247,14.3802,6.7413,3.0163,D
168411,ENSG00000170178,HOXD12,protein_coding,2,176099795,176102489,+,GRCh38,human,2695,0.5644,2695,16.1491,4.6837,14.792,6.4397,2.9876,D
168412,ENSG00000128713,HOXD11,protein_coding,2,176104216,176109754,+,GRCh38,human,5539,0.616,5539,16.6621,4.6935,15.2792,6.3057,3.1449,D
168413,ENSG00000128710,HOXD10,protein_coding,2,176108790,176119937,+,GRCh38,human,11148,0.4931,8190,17.1139,4.5008,15.822,6.1134,3.2474,D
168415,ENSG00000128709,HOXD9,protein_coding,2,176122719,176124937,+,GRCh38,human,2219,0.6016,2219,15.4578,4.8649,14.0929,6.7138,2.9009,D
168417,ENSG00000175879,HOXD8,protein_coding,2,176129694,176132695,+,GRCh38,human,3002,0.5217,3002,15.6537,4.6892,14.2623,6.5332,2.8991,D
168418,ENSG00000128652,HOXD3,protein_coding,2,176136612,176173102,+,GRCh38,human,36491,0.5111,8190,16.6507,5.1161,15.394,6.7221,3.3156,D
168419,ENSG00000170166,HOXD4,protein_coding,2,176151550,176153226,+,GRCh38,human,1677,0.6136,1677,15.425,4.8936,14.0876,6.7784,2.9383,D
168424,ENSG00000128645,HOXD1,protein_coding,2,176188668,176190907,+,GRCh38,human,2240,0.5607,2240,15.5,4.7967,14.1582,6.6486,2.8902,D
182272,ENSG00000105991,HOXA1,protein_coding,7,27092993,27096000,-,GRCh38,human,3008,0.4678,3008,16.1427,4.1899,14.8137,5.9932,2.9072,A
182281,ENSG00000105996,HOXA2,protein_coding,7,27100354,27102686,-,GRCh38,human,2333,0.5002,2333,15.4814,4.7781,14.1279,6.6333,2.9507,A
182282,ENSG00000105997,HOXA3,protein_coding,7,27106184,27152583,-,GRCh38,human,46400,0.5031,8190,16.7395,5.027,15.4743,6.6199,3.3253,A
182284,ENSG00000197576,HOXA4,protein_coding,7,27128507,27130780,-,GRCh38,human,2274,0.5695,2274,15.4637,4.8332,14.1034,6.6959,2.9818,A
182287,ENSG00000106004,HOXA5,protein_coding,7,27141052,27143681,-,GRCh38,human,2630,0.5338,2630,15.4283,4.8932,14.06,6.7786,3.0067,A
182288,ENSG00000106006,HOXA6,protein_coding,7,27145396,27150603,-,GRCh38,human,5208,0.5382,5208,16.2853,5.0457,14.9952,6.7626,3.1517,A
182290,ENSG00000122592,HOXA7,protein_coding,7,27153716,27157936,-,GRCh38,human,4221,0.5662,4221,16.4818,4.8151,15.1844,6.4672,3.1199,A
182292,ENSG00000078399,HOXA9,protein_coding,7,27162438,27175180,-,GRCh38,human,12743,0.5525,8190,16.8531,4.7648,15.5972,6.3793,3.2887,A
182296,ENSG00000253293,HOXA10,protein_coding,7,27170605,27180261,-,GRCh38,human,9657,0.5365,8190,17.5216,4.0139,16.1572,5.5836,3.1991,A
182297,ENSG00000005073,HOXA11,protein_coding,7,27181157,27185232,-,GRCh38,human,4076,0.5437,4076,15.8422,4.9702,14.5024,6.7497,3.0799,A
182307,ENSG00000106031,HOXA13,protein_coding,7,27193503,27200091,-,GRCh38,human,6589,0.4535,6589,17.162,4.2971,15.8247,5.9118,3.1414,A
196358,ENSG00000123364,HOXC13,protein_coding,12,53938831,53946544,+,GRCh38,human,7714,0.4894,7714,17.0018,4.901,15.6851,6.5367,3.2776,C
196361,ENSG00000123407,HOXC12,protein_coding,12,53954903,53958956,+,GRCh38,human,4054,0.5816,4054,16.6034,4.794,15.2165,6.4141,3.0975,C
196368,ENSG00000123388,HOXC11,protein_coding,12,53973126,53977643,+,GRCh38,human,4518,0.5598,4518,16.4735,4.7599,15.1625,6.3895,3.0905,C
196371,ENSG00000180818,HOXC10,protein_coding,12,53985065,53990279,+,GRCh38,human,5215,0.5292,5215,16.3075,5.1922,15.0361,6.8828,3.2114,C
196373,ENSG00000197757,HOXC6,protein_coding,12,53990624,54030823,+,GRCh38,human,40200,0.5361,8190,17.1771,4.647,15.8728,6.1916,3.237,C
196375,ENSG00000180806,HOXC9,protein_coding,12,53994895,54003337,+,GRCh38,human,8443,0.5689,8190,16.6263,5.1227,15.3537,6.7352,3.3171,C
196377,ENSG00000037965,HOXC8,protein_coding,12,54008985,54012769,+,GRCh38,human,3785,0.5176,3785,15.6186,4.9625,14.2936,6.8118,3.0077,C
196378,ENSG00000198353,HOXC4,protein_coding,12,54016931,54056030,+,GRCh38,human,39100,0.5168,8190,16.9274,4.9023,15.6989,6.4282,3.288,C
196381,ENSG00000172789,HOXC5,protein_coding,12,54033050,54035361,+,GRCh38,human,2312,0.5986,2312,15.4905,4.848,14.126,6.7119,2.9334,C
207800,ENSG00000120094,HOXB1,protein_coding,17,48528526,48531011,-,GRCh38,human,2486,0.5849,2486,16.0417,4.0948,14.6341,5.8758,2.8421,B
207801,ENSG00000173917,HOXB2,protein_coding,17,48540894,48545109,-,GRCh38,human,4216,0.5624,4216,16.5141,4.5108,15.1218,6.2129,3.081,B
207803,ENSG00000120093,HOXB3,protein_coding,17,48548870,48604912,-,GRCh38,human,56043,0.5252,8190,16.6419,5.106,15.3508,6.7212,3.325,B
207806,ENSG00000182742,HOXB4,protein_coding,17,48575507,48578350,-,GRCh38,human,2844,0.565,2844,15.5064,4.9172,14.1274,6.7935,3.0026,B
207808,ENSG00000120075,HOXB5,protein_coding,17,48591257,48593779,-,GRCh38,human,2523,0.5466,2523,15.3868,4.945,14.0332,6.8234,2.985,B
207809,ENSG00000108511,HOXB6,protein_coding,17,48595751,48604992,-,GRCh38,human,9242,0.5406,8190,16.7352,5.082,15.4407,6.681,3.3159,B
207810,ENSG00000260027,HOXB7,protein_coding,17,48607232,48633572,-,GRCh38,human,26341,0.5413,8190,17.6868,3.9148,16.3268,5.4566,3.1198,B
207811,ENSG00000120068,HOXB8,protein_coding,17,48611377,48615292,-,GRCh38,human,3916,0.5784,3916,15.8992,4.7882,14.5336,6.5722,3.0806,B
207812,ENSG00000170689,HOXB9,protein_coding,17,48621156,48626358,-,GRCh38,human,5203,0.5585,5203,16.2264,4.8214,14.8898,6.5205,3.1351,B
207823,ENSG00000159184,HOXB13,protein_coding,17,48724763,48728750,-,GRCh38,human,3988,0.5652,3988,16.8496,3.8761,15.4333,5.5867,2.9247,B
224700,ENSMMUG00000013463,HOXA13,protein_coding,3,87904691,87906788,+,Mmul_10,macaque,2098,0.6611,2098,15.4534,4.8808,14.0784,6.7455,2.9656,A
224702,ENSMMUG00000055708,HOXA11,protein_coding,3,87919781,87923845,+,Mmul_10,macaque,4065,0.5387,4065,16.0524,4.8803,14.774,6.6308,3.0556,A
224703,ENSMMUG00000051571,HOXA10,protein_coding,3,87930645,87933053,+,Mmul_10,macaque,2409,0.6214,2409,15.5877,4.7813,14.224,6.631,2.9325,A
224704,ENSMMUG00000013459,HOXA9,protein_coding,3,87939547,87943387,+,Mmul_10,macaque,3841,0.5397,3841,16.549,4.6775,15.2084,6.3609,3.161,A
224705,ENSMMUG00000013458,HOXA7,protein_coding,3,87947759,87951764,+,Mmul_10,macaque,4006,0.5449,4006,16.4421,4.7789,15.117,6.4785,3.1053,A
224706,ENSMMUG00000061724,HOXA6,protein_coding,3,87954491,87961095,+,Mmul_10,macaque,6605,0.5438,6605,16.7911,4.8303,15.4928,6.4356,3.2867,A
224707,ENSMMUG00000061471,HOXA5,protein_coding,3,87961116,87963229,+,Mmul_10,macaque,2114,0.6022,2114,15.453,4.9122,14.0865,6.7651,2.9392,A
224708,ENSMMUG00000040874,HOXA4,protein_coding,3,87974157,87975831,+,Mmul_10,macaque,1675,0.6418,1675,15.4131,4.8885,14.0635,6.76,2.9785,A
