name,chrom,species,umap2d_x,umap2d_y
ATMG00940,Mt,arabidopsis,4.9416,-3.1119
ATMG01280,Mt,arabidopsis,11.5385,3.621
ATMG00310,Mt,arabidopsis,3.6808,-1.7424
COX1,Mt,arabidopsis,11.8687,3.967
ATMG01090,Mt,arabidopsis,5.1195,-2.1165
ccb206,Mt,arabidopsis,11.877,3.969
ATMG00290,Mt,arabidopsis,11.8301,3.9155
ATMG00630,Mt,arabidopsis,5.0265,-2.2404
ATMG00040,Mt,arabidopsis,4.8977,-2.8981
AT2G07701,Mt,arabidopsis,5.8038,-2.7461
ATMG01050,Mt,arabidopsis,5.5693,-2.8733
ATMG00665,Mt,arabidopsis,6.102,-3.3492
rps3,Mt,arabidopsis,11.8093,3.9001
ATMG01020,Mt,arabidopsis,5.1091,-2.2087
ccmFC,Mt,arabidopsis,11.8614,3.9624
AT2G07713,Mt,arabidopsis,5.9172,-2.7653
rpl5,Mt,arabidopsis,11.858,3.9586
ATMG00513,Mt,arabidopsis,11.8794,3.9398
ATMG00730,Mt,arabidopsis,11.7286,3.8506
ATMG00740,Mt,arabidopsis,4.1632,-1.6162
ATMG00370,Mt,arabidopsis,11.8216,3.9012
ATMG00860,Mt,arabidopsis,3.5193,-1.7128
ATMG01060,Mt,arabidopsis,5.5565,-2.5582
ATMG00600,Mt,arabidopsis,6.0784,-2.7345
ATMG00840,Mt,arabidopsis,3.7172,-1.4985
ATMG00220,Mt,arabidopsis,11.8747,3.9884
orf107b,Mt,arabidopsis,5.4965,-2.5839
rpl16,Mt,arabidopsis,11.8903,3.9842
nad4L,Mt,arabidopsis,11.8249,3.9187
ATMG01000,Mt,arabidopsis,5.5748,-2.5208
ATMG00970,Mt,arabidopsis,5.3984,-2.5151
ATMG01260,Mt,arabidopsis,2.6827,-5.9859
ATMG01010,Mt,arabidopsis,4.8804,-3.0055
ATMG00400,Mt,arabidopsis,5.7548,-2.5263
ATMG01110,Mt,arabidopsis,1.9514,-6.4934
AT2G07751,Mt,arabidopsis,11.836,3.9239
ATMG00050,Mt,arabidopsis,5.0011,-2.9392
ATMG00910,Mt,arabidopsis,5.3734,-2.7007
ATMG00500,Mt,arabidopsis,6.0896,-2.2463
ND1,MT,chicken,-1.2485,9.8783
ND2,MT,chicken,-1.2482,9.8781
COX1,MT,chicken,-1.2486,9.8784
COX2,MT,chicken,-1.2481,9.878
ATP8,MT,chicken,-1.2482,9.878
ATP6,MT,chicken,-1.2485,9.8783
COX3,MT,chicken,-1.2484,9.8782
ND3,MT,chicken,-1.2479,9.878
ND4L,MT,chicken,-1.2484,9.8782
ND4,MT,chicken,-1.2486,9.8783
ND5,MT,chicken,-1.2486,9.8783
CYTB,MT,chicken,-1.248,9.878
ND6,MT,chicken,-1.2481,9.878
ND1,MT,cow,-1.2485,9.8783
MT-ND2,MT,cow,-1.2485,9.8783
COX1,MT,cow,-1.2486,9.8783
MT-CO2,MT,cow,-1.2485,9.8782
MT-ATP8,MT,cow,11.6113,3.6537
MT-ATP6,MT,cow,-1.2485,9.8783
COX3,MT,cow,-1.2487,9.8784
MT-ND3,MT,cow,-1.2481,9.878
MT-ND4L,MT,cow,-1.2484,9.8783
MT-ND4,MT,cow,-1.2485,9.8783
ND5,MT,cow,-1.2485,9.8783
MT-ND6,MT,cow,-1.2482,9.8781
MT-CYB,MT,cow,-1.2485,9.8782
SPMIT.02,MT,fission_yeast,3.3576,-3.9075
SPMIT.03,MT,fission_yeast,3.0469,-4.3472
cob1,MT,fission_yeast,3.1065,-4.2626
SPMIT.06,MT,fission_yeast,3.3422,-3.9283
atp8,MT,fission_yeast,3.1155,-4.2494
cox2,MT,fission_yeast,3.0657,-4.2864
cox1,MT,fission_yeast,3.0858,-4.2902
atp6,MT,fission_yeast,3.0452,-4.3097
cox3,MT,fission_yeast,3.0522,-4.3162
var1,MT,fission_yeast,3.9882,-3.2434
atp9,MT,fission_yeast,2.9991,-4.3311
nd1,MT,frog,-1.2482,9.878
nd2,MT,frog,-1.2482,9.878
COX1,MT,frog,-1.2484,9.878
cox2,MT,frog,-1.2476,9.8773
ATP8,MT,frog,-1.2473,9.8771
ATP6,MT,frog,-1.2478,9.8775
cox3,MT,frog,-1.2488,9.8787
nd3,MT,frog,-1.2476,9.8774
nd4l,MT,frog,-1.2478,9.8775
nd4,MT,frog,-1.247,9.8769
nd5,MT,frog,-1.2469,9.8766
nd6,MT,frog,-1.2481,9.878
cytb,MT,frog,-1.2482,9.878
MT-ND1,MT,human,-1.2486,9.8784
MT-ND2,MT,human,-1.2478,9.8777
MT-CO1,MT,human,-1.2486,9.8784
MT-CO2,MT,human,-1.2486,9.8784
MT-ATP8,MT,human,-1.2469,9.8769
MT-ATP6,MT,human,-1.2485,9.8783
MT-CO3,MT,human,-1.254,9.8846
MT-ND3,MT,human,-1.2482,9.8782
MT-ND4L,MT,human,-1.249,9.8786
MT-ND4,MT,human,-1.2486,9.8785
MT-ND5,MT,human,-1.2489,9.8787
MT-ND6,MT,human,-1.2485,9.8783
MT-CYB,MT,human,-1.2485,9.8784
ND1,MT,macaque,-1.2488,9.8787
ND2,MT,macaque,-1.2486,9.8785
COX1,MT,macaque,-1.249,9.8789
COX2,MT,macaque,-1.2495,9.8794
ATP8,MT,macaque,-1.238,9.8675
ATP6,MT,macaque,-1.2484,9.8784
COX3,MT,macaque,-1.2491,9.8788
ND3,MT,macaque,-1.2483,9.8782
ND4L,MT,macaque,-1.2487,9.8785
ND4,MT,macaque,-1.249,9.8786
ND5,MT,macaque,-1.2502,9.8788
ND6,MT,macaque,-1.2484,9.8783
CYTB,MT,macaque,-1.2487,9.8786
mt-Nd1,MT,mouse,-1.2484,9.8782
mt-Nd2,MT,mouse,-1.2483,9.8782
mt-Co1,MT,mouse,-1.2485,9.8783
mt-Co2,MT,mouse,-1.2485,9.8783
mt-Atp8,MT,mouse,-1.2471,9.8772
mt-Atp6,MT,mouse,-1.2486,9.8785
mt-Co3,MT,mouse,-1.2483,9.8781
mt-Nd3,MT,mouse,-1.2479,9.8777
mt-Nd4l,MT,mouse,-1.2484,9.8784
mt-Nd4,MT,mouse,-1.2483,9.8781
mt-Nd5,MT,mouse,-1.2478,9.8779
mt-Nd6,MT,mouse,-1.2485,9.8783
mt-Cytb,MT,mouse,-1.2477,9.8776
NCU16001,Mt,neurospora,3.3479,-3.9108
NCU16002,Mt,neurospora,4.3612,-2.9592
NCU16003,Mt,neurospora,3.0006,-4.3557
NCU16004,Mt,neurospora,3.155,-4.1844
NCU16005,Mt,neurospora,3.1556,-4.1929
NCU16006,Mt,neurospora,3.059,-4.2919
NCU16007,Mt,neurospora,3.3335,-3.941
NCU16009,Mt,neurospora,3.1149,-4.2578
NCU16008,Mt,neurospora,3.1654,-4.1593
NCU16011,Mt,neurospora,3.0766,-4.3295
NCU16012,Mt,neurospora,3.0907,-4.2489
NCU16010,Mt,neurospora,3.0562,-4.3294
NCU16014,Mt,neurospora,3.028,-4.3492
NCU16013,Mt,neurospora,3.0549,-4.3239
NCU16015,Mt,neurospora,3.0655,-4.3235
NCU16016,Mt,neurospora,3.0092,-4.3533
NCU16017,Mt,neurospora,4.3329,-2.9422
NCU16018,Mt,neurospora,3.1261,-4.3433
NCU16019,Mt,neurospora,3.0514,-4.3352
NCU16020,Mt,neurospora,3.0698,-4.3154
NCU16021,Mt,neurospora,3.0753,-4.2873
NCU16022,Mt,neurospora,4.1336,-3.1233
NCU16023,Mt,neurospora,5.7096,-2.6894
NCU16024,Mt,neurospora,3.1712,-4.1887
NCU16025,Mt,neurospora,3.0659,-4.3242
NCU16026,Mt,neurospora,3.0271,-4.3536
NCU16027,Mt,neurospora,3.0204,-4.3608
NCU16028,Mt,neurospora,3.0087,-4.3612
ND1,MT,pig,-1.2484,9.8784
ND2,MT,pig,-1.248,9.878
COX1,MT,pig,-1.2488,9.8787
COX2,MT,pig,-1.2481,9.8776
ATP8,MT,pig,-1.245,9.8756
ATP6,MT,pig,-1.2485,9.8783
COX3,MT,pig,-1.2486,9.8784
ND3,MT,pig,-1.2476,9.8778
ND4L,MT,pig,-1.2479,9.8779
ND4,MT,pig,-1.2483,9.8781
ND5,MT,pig,-1.2482,9.8781
ND6,MT,pig,-1.2485,9.8783
CYTB,MT,pig,-1.2485,9.8782
Mt-nd1,MT,rat,-1.2484,9.8782
Mt-nd2,MT,rat,-1.2484,9.8782
Mt-co1,MT,rat,-1.2488,9.8785
Mt-co2,MT,rat,-1.2489,9.8785
Mt-atp8,MT,rat,-1.2473,9.8772
Mt-atp6,MT,rat,-1.249,9.8789
Mt-co3,MT,rat,-1.2487,9.8784
Mt-nd3,MT,rat,-1.2483,9.878
Mt-nd4l,MT,rat,-1.2479,9.8776
Mt-nd4,MT,rat,-1.2485,9.8783
Mt-nd5,MT,rat,-1.2484,9.8782
Mt-nd6,MT,rat,-1.2484,9.8784
Mt-cyb,MT,rat,-1.2487,9.8784
gene-nad6,Mt,rice,11.8652,3.9502
orf490,Mt,rice,3.5137,-1.6945
orf224,Mt,rice,5.776,-1.9732
rps13,Mt,rice,11.8591,3.9597
gene-rpl2-2,Mt,rice,11.6443,3.7546
orf165,Mt,rice,5.8884,-2.2158
atp9,Mt,rice,11.8537,3.9577
rps7,Mt,rice,11.8669,3.9535
gene-cox2,Mt,rice,11.8906,3.9864
orf181,Mt,rice,4.5843,-1.8056
gene-atp1,Mt,rice,11.8994,4.0385
nad9,Mt,rice,11.8886,3.9915
orfB,Mt,rice,11.8687,3.9601
gene-atp6,Mt,rice,11.745,3.808
rps1,Mt,rice,11.8219,3.8951
nad3,Mt,rice,11.8258,3.8992
orf161,Mt,rice,5.8926,-2.4962
ccmB,Mt,rice,11.8693,3.966
gene-nad4L,Mt,rice,11.8479,3.9365
gene-nad4,Mt,rice,11.8894,3.9757
orf258,Mt,rice,3.8992,-1.6406
orf173,Mt,rice,11.6459,3.6999
orf152b,Mt,rice,5.6288,-2.2827
orf288,Mt,rice,5.0911,-2.7278
orfX,Mt,rice,11.8521,3.927
orf153,Mt,rice,5.6115,-2.5866
rps4,Mt,rice,11.8688,3.948
orf176,Mt,rice,5.4823,-2.6451
rps19,Mt,rice,11.7378,3.7986
gene-ccmFc,Mt,rice,11.8618,3.9539
cox3,Mt,rice,11.8681,3.9638
gene-ccmFn,Mt,rice,11.8633,3.9537
orf160,Mt,rice,5.2519,-2.7357
orf183,Mt,rice,5.1003,-2.4687
gene-nad1,Mt,rice,11.8672,3.9733
orf240,Mt,rice,11.8647,3.9551
rpl5,Mt,rice,11.8717,3.9486
orf194,Mt,rice,5.6115,-2.5264
orf25,Mt,rice,11.8829,3.9166
orf241,Mt,rice,3.6947,0.1518
cob,Mt,rice,11.8685,3.9586
orf152a,Mt,rice,5.5599,-2.3152
gene-nad5,Mt,rice,11.8646,3.966
orf162,Mt,rice,5.5029,-2.5524
orf187,Mt,rice,5.3953,-2.3972
RPS12,Mt,rice,11.8775,3.9827
rps2,Mt,rice,11.5405,3.6677
gene-nad7,Mt,rice,6.0914,-3.0086
orf284,Mt,rice,5.2231,-2.1728
mat-r,Mt,rice,12.2473,4.6581
gene-rps3-2,Mt,rice,11.8586,3.9348
mt-nd1,MT,zebrafish,-1.2477,9.8774
mt-nd2,MT,zebrafish,-1.2484,9.878
mt-co1,MT,zebrafish,-1.2484,9.8781
mt-co2,MT,zebrafish,-1.2473,9.8766
mt-atp8,MT,zebrafish,-1.2452,9.875
mt-atp6,MT,zebrafish,-1.2479,9.8774
mt-co3,MT,zebrafish,-1.2486,9.8783
mt-nd3,MT,zebrafish,-1.2462,9.8758
mt-nd4l,MT,zebrafish,-1.2474,9.8771
mt-nd4,MT,zebrafish,-1.2482,9.8778
mt-nd5,MT,zebrafish,-1.2453,9.8743
mt-nd6,MT,zebrafish,-1.248,9.8778
mt-cyb,MT,zebrafish,-1.2479,9.8772
